cycles,value,time
400,55.4979,10.0559
400,53.9762,10.274
400,58.0466,9.227
400,54.6467,9.0918
400,54.1182,9.1351
400,52.6807,9.4772
400,51.4197,8.8736
400,53.9498,8.534
400,54.434,10.3718
400,53.2511,8.6893
400,51.3689,8.833
400,56.6416,8.5047
400,50.3345,10.6743
400,53.8877,7.5602
400,54.4845,9.7552
400,51.7088,7.6367
400,53.2775,8.6335
400,55.7861,8.2737
400,53.1647,8.328
400,54.461,9.3064
400,49.825,9.8326
400,51.253,8.5186
400,52.3947,10.6701
400,50.3601,10.1056
400,52.0361,6.7676
400,53.8488,8.756
400,54.8215,10.2138
400,54.1732,8.8042
400,52.3011,9.3651
400,53.2711,8.069
400,54.8138,10.0827
400,52.5604,9.1832
400,53.4279,9.4211
400,52.2476,8.626
400,52.2572,9.3494
400,54.9782,8.9439
400,52.5714,8.7695
400,54.7781,8.4722
400,54.7884,9.6956
400,51.0637,8.0475
400,53.2497,8.1093
400,52.6823,10.3572
400,50.4955,8.4555
400,53.2553,9.6396
400,55.1525,8.3745
400,51.8187,8.0967
400,52.9687,8.5016
400,53.8724,9.5966
400,52.1857,9.539
400,51.9502,10.454
400,51.8051,9.9878
400,55.6527,8.8751
400,54.1622,9.8671
400,52.9322,10.1214
400,50.7435,9.4846
400,52.6224,9.6767
400,50.9346,9.8658
400,57.2561,9.5735
400,52.966,8.5591
400,55.0047,8.9403
400,53.6732,8.0177
400,52.1311,10.1653
400,52.4795,9.2811
400,54.4163,8.7543
400,54.4135,9.2193
400,51.6678,9.9549
400,51.1023,8.7917
400,53.2284,9.9241
400,53.4987,9.0044
400,51.7844,9.7776
400,55.8072,8.1499
400,51.9361,8.4115
400,51.4388,7.8188
400,50.3653,9.2778
400,53.4752,8.7438
400,53.5018,9.5468
400,52.2278,8.3064
400,56.3384,9.852
400,54.6021,8.7851
400,54.7989,8.6527
400,53.0442,9.0479
400,55.9777,8.4008
400,50.5033,9.2534
400,53.1499,9.4535
400,52.2582,9.4059
400,53.0306,8.9728
400,53.535,8.4856
400,51.5546,9.6154
400,53.1553,8.8424
400,51.6569,9.1859
400,53.1319,8.8373
400,52.9922,9.5685
400,53.48,7.62
400,52.7086,8.6562
400,52.0726,9.2655
400,53.5276,9.3192
400,51.2348,9.5921
400,51.9292,8.6709
400,53.3164,8.3377
400,54.4179,10.1491
400,54.1463,8.2018
400,52.7661,8.5557
400,51.4152,8.3452
400,55.0896,8.8816
400,52.3363,9.3232
400,51.6683,9.3644
400,53.9565,9.7986
400,52.2155,8.164
400,51.6049,9.764
400,52.7653,9.0802
400,50.7412,9.6572
400,54.0637,9.1307
400,51.0598,10.0478
400,51.9064,9.0144
400,52.2976,9.02
400,52.8941,8.9921
400,55.0294,8.657
400,49.9333,9.3306
400,52.9336,9.2269
400,54.0335,9.4201
400,53.5005,9.3118
400,52.4114,9.1453
400,52.1621,9.5767
400,56.0955,7.7354
400,51.7158,9.5958
400,51.3751,9.4387
400,53.4781,10.0786
400,54.0989,9.5462
400,52.5854,9.2545
400,53.857,9.2967
400,53.4496,7.6237
400,53.4734,9.1369
400,54.4887,9.6
400,53.7352,9.3921
400,55.0475,8.1282
400,55.8771,8.1019
400,52.6732,7.8497
400,55.004,8.9705
400,51.1866,8.43
400,52.3884,8.302
400,50.6228,8.1633
400,52.3461,10.182
400,53.4427,9.1324
400,53.6121,8.9384
400,54.2363,9.6714
400,52.0489,8.5134
400,51.2423,7.6255
400,52.0108,9.9995
400,53.2075,10.093
400,53.5027,9.7109
400,51.8203,8.5403
400,51.2301,8.8703
400,54.7432,9.2258
400,54.7097,8.8236
400,54.8705,9.6638
400,53.4505,7.8433
400,53.6282,8.8895
400,51.2138,8.8434
400,53.1035,7.4029
400,52.6383,8.5746
400,52.791,9.4786
400,51.1293,9.0783
400,54.7605,9.7129
400,52.3801,9.0315
400,53.2608,8.3652
400,52.7412,8.3248
400,54.6324,8.8503
400,52.6753,8.7802
400,51.4794,9.7661
400,51.8787,8.8837
400,51.1548,8.8115
400,55.1747,8.3493
400,54.0905,8.7456
400,55.0503,9.1086
400,51.137,8.8418
400,53.2893,7.7603
400,53.23,8.527
400,51.9195,9.7354
400,53.088,7.4297
400,52.0316,8.6478
400,54.7433,10.2718
400,51.6631,9.2331
400,51.4864,8.5881
400,52.6867,7.311
400,51.0417,8.9046
400,51.6455,9.0804
400,51.1457,8.1373
400,52.9896,7.224
400,51.5572,8.9833
400,52.0705,8.6427
400,55.6671,8.9704
400,51.9906,7.259
400,55.2155,8.6887
400,53.2806,8.8076
400,54.67,9.2153
400,51.7749,9.8186
400,52.7466,9.2888
400,51.4418,8.9443
400,55.3097,9.5778
400,54.2786,9.6799
400,52.7394,9.8896
400,54.9564,8.8422
400,51.0541,9.3529
400,52.4469,8.8471
400,52.6508,8.6513
400,54.363,7.2406
400,56.2783,8.5774
400,51.4711,7.346
400,51.1591,9.8484
400,52.0103,8.5628
400,53.9224,9.7048
400,54.0613,9.4815
400,52.2588,7.7138
400,51.452,9.3198
400,51.9908,8.8412
400,52.6054,7.9197
400,54.8767,9.0814
400,57.26,9.5477
400,52.8586,8.3075
400,53.897,8.755
400,55.3683,8.8402
400,52.6792,8.5577
400,53.2433,9.9706
400,52.6496,8.1546
400,54.7261,9.0083
400,53.3921,9.3434
400,52.1237,9.196
400,53.6272,9.2959
400,53.4139,7.5959
400,53.5981,9.6226
400,52.6945,8.0155
400,51.5248,9.5861
400,52.72,7.9071
400,54.556,8.0497
400,54.8804,9.4705
400,52.9419,9.3048
400,52.6804,8.2466
400,53.1451,8.8607
400,52.7772,10.308
400,53.2513,9.0283
400,55.1485,10.417
400,53.1928,9.8194
400,51.8733,9.3601
400,57.1453,10.4786
400,52.7072,9.8301
400,55.1733,8.111
400,55.2255,10.0643
400,53.1187,8.0814
400,52.3758,8.4131
400,51.7169,9.6867
400,53.3838,8.927
400,51.8495,9.6139
400,51.928,9.109
400,51.4664,9.0551
400,52.5787,9.3842
400,50.7982,9.1669
400,53.8112,9.1892
400,53.1438,10.1101
400,53.885,9.2179
400,52.9511,8.9014
400,54.8478,9.9087
400,52.0356,9.9816
400,52.9906,9.4561
400,52.8531,9.7473
400,52.6976,9.2215
400,51.1451,9.8141
400,54.353,7.8828
400,53.7375,9.4732
400,50.8169,9.9955
400,52.004,8.9419
400,53.3781,9.6112
400,55.7821,7.9375
400,55.1765,7.2832
400,53.5915,9.3648
400,51.4375,9.0315
400,54.2547,8.6409
400,51.6804,8.8354
400,52.2396,8.7832
400,53.9518,8.4091
400,51.6556,8.8658
400,53.3389,9.2799
400,53.1985,7.8392
400,52.3348,10.2041
400,51.4326,8.7647
400,50.7433,8.7772
400,50.8877,8.4082
400,55.1723,9.1243
400,53.1895,10.3587
400,54.7563,8.7714
400,55.9353,9.6423
400,53.1854,10.2063
400,52.3895,9.1974
400,51.8949,8.6434
400,54.3878,10.2546
400,53.1471,8.5567
400,53.1585,9.8427
400,56.1489,9.1015
400,50.2749,9.0649
400,52.1721,10.2883
400,51.1006,8.7832
400,52.6128,9.8695
400,52.3807,9.2995
400,51.989,8.6577
400,51.7095,9.0361
400,51.2655,10.0535
400,50.4541,8.9611
400,52.7692,8.1588
400,51.0513,8.7518
400,53.1918,8.4712
400,53.5842,9.514
400,52.5179,9.1724
400,53.5924,9.0261
400,52.6175,8.0595
400,55.1057,9.356
400,51.5493,10.3707
400,53.9614,8.6807
400,56.1233,9.0834
400,54.1726,9.0094
400,52.727,8.7025
400,52.9263,8.9996
400,53.1424,8.1433
400,49.9714,8.3963
400,52.296,8.4082
400,54.4192,10.2701
400,51.384,7.8109
400,52.4292,10.0703
400,53.4815,8.6818
400,53.7027,8.565
400,51.8354,9.3817
400,51.3379,10.3439
400,52.4954,9.7462
400,52.7794,8.8288
400,53.03,8.7463
400,54.251,9.6052
400,52.86,7.9801
400,53.3177,9.5684
400,51.8794,9.6176
400,54.7269,10.0098
400,53.5014,9.0679
400,52.205,9.7259
400,50.9693,9.0668
400,55.0357,9.4442
400,51.4909,8.8829
400,52.5976,9.5013
400,52.6617,9.3575
400,53.2387,9.1221
400,52.3913,9.224
400,52.5756,9.2469
400,56.0495,8.3839
400,52.7998,8.8389
400,53.4572,8.7899
400,53.1985,8.6653
400,53.9146,8.8224
400,51.5524,8.5602
400,51.5859,9.5824
400,52.9901,8.1013
400,53.2018,9.6121
400,53.1262,8.7162
400,50.0818,8.2565
400,58.3499,8.6731
400,53.2173,9.3704
400,51.2734,8.5426
400,51.3583,10.1294
400,52.5305,8.8531
400,52.4816,9.2953
400,54.7333,9.8069
400,51.254,9.8558
400,50.763,8.8828
400,53.7292,9.0232
400,53.8805,9.2953
400,52.9876,8.7204
400,50.2164,8.4525
400,53.4831,9.1931
400,55.1283,9.4995
400,50.6796,9.0525
400,54.3615,9.7621
400,53.9955,9.6047
400,51.58,9.2303
400,54.7412,9.2443
400,54.2195,9.5411
400,52.9338,9.1224
400,55.4083,9.0463
400,57.2407,8.0445
400,49.8923,8.2429
400,57.9927,8.056
400,53.704,8.5469
400,52.8081,7.8859
400,53.0925,9.575
400,51.0102,10.1764
400,54.6646,9.4856
400,53.1225,9.8473
400,53.1417,9.0327
400,52.7738,10.0626
400,51.37,7.6863
400,52.6364,8.3899
400,49.742,8.2516
400,54.0072,9.065
400,53.1836,8.1545
400,56.0869,9.1335
400,50.8487,8.8276
400,52.0665,8.1123
400,52.9724,9.8451
400,54.7408,8.1335
400,53.3995,8.6266
400,51.2731,8.3782
400,51.0329,7.7591
400,52.7529,10.2011
400,52.3649,8.2023
400,52.3172,9.5822
400,52.5048,9.1247
400,52.3234,9.3674
400,51.9127,9.2408
400,52.9966,7.6121
400,52.0848,9.5415
400,53.5305,8.0492
400,51.2224,9.4497
400,53.7035,9.6346
400,50.8675,9.6748
400,54.032,8.6805
400,53.5203,7.4864
400,54.7489,8.8355
400,51.0502,8.5795
400,52.8674,9.1712
400,54.4121,9.5939
400,54.8182,9.2953
400,51.2737,8.1282
400,51.551,8.8486
400,52.0252,8.1933
400,54.3456,9.8059
400,52.5949,10.4257
400,52.7167,9.0154
400,53.4076,8.5165
400,53.7555,9.2572
400,54.7642,7.961
400,53.7027,7.8192
400,54.3628,7.7271
400,53.2813,8.3277
400,51.0651,8.3664
400,52.3459,9.2022
400,52.8283,9.3529
400,52.677,8.8898
400,52.1114,9.3674
400,53.046,8.5698
400,53.2326,9.7241
400,52.3321,9.2279
400,51.0787,8.6061
400,53.4916,8.8534
400,51.7249,9.0747
400,53.5668,9.5492
