cycles,value,time
400,59.6309,15.2258
400,58.9042,15.8659
400,63.1931,15.1892
400,63.3857,15.081
400,63.8351,15.3101
400,59.1054,15.5075
400,61.9782,15.4514
400,62.1051,15.1523
400,63.2453,15.0546
400,60.776,15.4075
400,57.741,15.0116
400,62.5156,14.9642
400,62.8792,15.2319
400,55.9873,15.5838
400,63.2003,14.884
400,63.6762,15.435
400,62.3301,14.6682
400,62.1322,15.0028
400,59.6055,14.7679
400,56.3949,14.8813
400,63.3772,14.9989
400,58.2035,15.7441
400,55.4188,15.4669
400,56.6553,15.2004
400,59.5396,15.3938
400,61.1188,15.9976
400,56.7037,15.3006
400,56.3039,15.0403
400,63.9755,14.9793
400,57.3236,15.8313
400,56.995,14.7881
400,58.4245,14.9188
400,57.6334,14.7772
400,62.7384,15.3736
400,63.876,15.4778
400,63.7035,15.3921
400,58.5227,14.9663
400,58.9091,15.6075
400,59.1624,15.3865
400,60.2937,15.4823
400,58.9789,14.8294
400,63.5585,14.7755
400,63.2395,15.2637
400,57.7777,15.5891
400,58.4842,15.4789
400,57.9927,14.839
400,62.2957,15.0406
400,57.9332,15.3424
400,62.7924,15.0276
400,60.4614,16.3295
400,63.6898,15.4218
400,63.6896,15.3695
400,59.0894,15.3681
400,58.0546,14.8069
400,59.4848,15.2555
400,55.2182,14.7642
400,62.0231,15.2684
400,56.7814,14.9383
400,63.4513,15.1737
400,62.0958,15.0627
400,56.0602,15.4214
400,58.2274,16.8154
400,62.3022,15.9679
400,58.9977,15.2379
400,58.8296,15.0063
400,62.7595,15.2724
400,57.3427,15.039
400,56.7359,14.8942
400,58.3638,15.1938
400,58.366,15.2708
400,62.9866,15.0359
400,57.3346,15.1137
400,62.664,15.7882
400,57.2575,15.2104
400,58.0708,15.1459
400,58.8459,15.2077
400,63.2751,15.2729
400,63.1178,14.8463
400,62.3257,15.1958
400,56.9698,15.5999
400,57.8016,15.2237
400,58.0165,15.1792
400,63.298,15.7432
400,59.3287,15.6323
400,63.1538,15.7589
400,61.5791,15.3489
400,63.7523,15.4032
400,58.1495,15.453
400,57.2076,15.399
400,64.1937,15.6027
400,63.9569,15.4271
400,63.6746,15.5062
400,57.2462,15.7308
400,58.1021,14.9316
400,59.3235,14.7609
400,57.6195,15.2105
400,63.4664,15.4114
400,58.3449,15.6645
400,59.0636,14.9034
400,57.4485,15.1921
400,58.3024,15.3021
400,63.0856,15.7253
400,58.0769,15.0135
400,58.5673,14.7028
400,58.6754,14.8882
400,56.6829,15.4996
400,56.8936,15.3099
400,62.6289,15.9555
400,63.1717,16.0306
400,57.7187,15.3138
400,61.5309,14.931
400,63.7134,14.728
400,62.691,15.7002
400,57.0398,15.1069
400,57.1537,15.279
400,56.6908,15.0315
400,57.4035,15.4717
400,63.1182,15.0125
400,63.4553,15.4024
400,63.5046,15.4356
400,56.7242,15.9436
400,57.9178,15.2605
400,62.2738,15.0575
400,62.6188,15.5778
400,58.579,14.87
400,62.886,15.0335
400,60.873,14.7731
400,56.1317,15.3932
400,57.1911,15.4024
400,59.5994,15.0624
400,63.308,16.1139
400,59.2866,15.6112
400,63.8397,15.2309
400,57.3422,15.286
400,58.8118,15.4636
400,58.5337,15.7277
400,59.2866,15.029
400,59.2866,15.062
400,59.297,15.0533
400,62.4375,15.2302
400,58.0944,15.2835
400,57.1092,15.0441
400,62.1131,14.6279
400,56.0643,16.1256
400,62.4849,15.6425
400,57.6287,15.16
400,58.1011,15.3935
400,61.1544,15.0761
400,62.2821,15.3582
400,58.4682,14.6384
400,61.573,15.5469
400,57.6632,14.989
400,57.3334,15.7102
400,62.0627,15.1595
400,62.6578,15.6605
400,63.4887,15.7311
400,61.8316,14.9317
400,63.0416,15.4572
400,57.741,15.1837
400,62.4343,15.4372
400,63.2836,15.1875
400,63.0346,15.0057
400,58.7948,15.3914
400,58.1224,15.171
400,63.9918,14.9426
400,63.9189,15.2963
400,61.5556,15.1289
400,63.2364,16.3471
400,58.4578,15.7174
400,58.3042,15.3868
400,58.278,15.3875
400,59.1911,15.2468
400,58.8822,14.9904
400,55.1632,14.9657
400,58.5284,14.9044
400,63.7134,15.2225
400,62.7493,15.1064
400,57.4829,14.7937
400,62.5281,15.6155
400,57.6986,15.6207
400,56.6358,15.6995
400,62.0552,15.188
400,63.3352,15.3122
400,59.3831,15.2121
400,59.0649,15.2065
400,63.3969,14.9463
400,62.2976,15.0032
400,57.9372,15.3421
400,59.3118,14.9626
400,63.403,15.4232
400,58.177,16.4602
400,58.9616,15.4014
400,62.3973,14.9866
400,58.7635,15.6672
400,57.8585,15.8637
400,62.798,15.4622
400,62.8426,15.2787
400,58.3209,15.1911
400,63.2576,15.279
400,62.1274,15.2542
400,61.319,15.2339
400,57.8985,15.2675
400,56.9055,15.8847
400,58.0991,15.1867
400,63.4887,15.1985
400,62.4948,15.3428
400,57.1388,15.2144
400,59.3241,15.3271
400,57.7206,15.2352
400,57.1929,15.1766
400,57.0005,15.2451
400,56.228,15.0953
400,59.1609,15.1259
400,58.3756,15.2479
400,62.0599,15.3916
400,61.9618,15.2788
400,59.1361,14.8598
400,59.9945,15.8553
400,62.3544,15.0605
400,63.7424,15.6155
400,62.2625,15.5357
400,63.2312,15.4218
400,63.2883,15.676
400,60.1414,14.823
400,58.1683,15.3633
400,56.4392,15.1525
400,57.029,15.6595
400,57.0625,15.1869
400,62.094,15.9503
400,57.1225,14.9661
400,63.2863,15.3234
400,57.154,15.319
400,63.0969,15.2
400,62.6289,16.0041
400,58.1924,15.5275
400,57.5909,15.7277
400,58.8965,15.8994
400,58.9986,16.2275
400,58.9374,15.3187
400,57.3193,15.0699
400,58.496,15.1296
400,62.691,15.4427
400,62.6501,14.6298
400,62.6444,15.0973
400,62.0748,15.1795
400,58.927,15.4271
400,58.5197,14.9575
400,58.849,14.7546
